 DISTRICT/ZONE/REGION,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2)
,,,,,
TAPLEJUNG,134698,3646,25.5,5282,1
,,,,,
PANCHTHAR,202056,1241,145.4,1390,12
,,,,,
ILAM,282806,1703,228.45,1238,13
,,,,,
JHAPA,688109,1606,196.6,3500,12
,,,,,
,1307669,8196,595.95,2194,7
,,,,,
MORANG,843220,1855,214.22,3936,12
,,,,,
SUNSARI,625633,1257,191.03,3275,15
,,,,,
DHANKUTA,166479,891,132.14,1260,15
,,,,,
TERHATHUM,113111,679,32.89,3439,5
,,,,,
SANKHUWASAVA,159203,3480,76.7,2076,2
,,,,,
BHOJPUR,203018,1507,50,0,3
,,,,,
,2110664,9669,696.98,3028,7
,,,,,
SOLUKHUMBU,107686,3312,0,0,0
,,,,,
OKHALDHUNGA,156702,1074,47,3334,4
,,,,,
KHOTANG,231385,1591,71,0,4
,,,,,
UDAYAPUR,287689,2063,179.86,1600,9
,,,,,
SAPTARI,570282,1363,239.5,2381,18
,,,,,
SIRAHA,572399,1188,143.93,3977,12
,,,,,
,1926143,10591,681.29,2827,6
,,,,,
,5344476,28456,1974.22,2707,7
,,,,,
DHANUSHA,671364,1180,189.21,3548,16
,,,,,
MAHOTTARI,553481,1002,185.29,2987,18
,,,,,
SARLAHI,635701,1259,181.42,3504,14
,,,,,
SINDHULI,279821,2491,89,3144,4
,,,,,
RAMECHHAP,212408,1546,77,2759,5
,,,,,
DOLAKHA,204229,2191,136.68,1494,6
,,,,,
,2557004,9669,858.6,2978,9
,,,,,
SINDHUPALCHOK,305857,2542,161.65,1892,6
,,,,,
KAVREPALANCHOK,385672,1396,147.32,2618,11
,,,,,
LALITPUR,337785,385,113.01,2989,29
,,,,,
BHAKTAPUR,225461,119,97.47,2313,82
,,,,,
KATHMANDU,1081845,395,214.69,5039,54
,,,,,
NUWAKOT,288478,1121,135.71,2126,12
,,,,,
RASUWA,44731,1544,50.5,886,3
,,,,,
DHADING,338658,1926,145.88,2321,8
,,,,,
,3008487,9428,1066.23,2822,11
,,,,,
MAKWANPUR,392604,2426,278.54,1410,11
,,,,,
RAUTAHAT,545132,1126,87.83,6207,8
,,,,,
BARA,559135,1190,165.13,3386,14
,,,,,
PARSA,497219,1353,37.62,13217,3
,,,,,
CHITWAN,472048,2218,190.39,2479,9
,,,,,
,2466138,8313,759.51,3247,9
,,,,,
,8031629,27410,2684.34,2992,10
,,,,,
GORKHA,288134,3610,88.34,3262,2
,,,,,
LAMJUNG,177149,1692,57.87,3061,3
,,,,,
TANAHU,315237,1546,132.41,2381,9
,,,,,
SYANGJA,317320,1164,137.94,2300,12
,,,,,
KASKI,380527,2017,112.96,3369,6
,,,,,
MANANG,9587,2246,18,0,1
,,,,,
,1487954,12275,547.52,2718,4
,,,,,
MUSTANG,14981,3573,43,0,1
,,,,,
MYAGDI,114447,2297,26,4402,1
,,,,,
PARBAT,157826,494,37.11,4253,8
,,,,,
BAGLUNG,268937,1784,102.13,2633,6
,,,,,
556191,8148,208.24,2671,3,
,,,,,
GULMI,296654,1149,110.54,2684,10
,,,,,
PALPA,268558,1373,128.59,2088,9
,,,,,
NAWALPARASI,562870,2162,192.33,2927,9
,,,,,
RUPANDEHI,708419,1360,152.44,4647,11
,,,,,
KAPILBASTU,481976,1738,222.97,2162,13
,,,,,
ARGHAKHANCHI,208391,1193,102.91,2025,9
,,,,,
,2526868,8975,909.78,2777,10
,,,,,
,4571013,29398,1665.54,2744,6
,,,,,
PYUTHAN,212484,1309,172,1235,13
,,,,,
ROLPA,210004,1879,153.79,1366,8
,,,,,
RUKUM,188438,2877,52.4,3596,2
,,,,,
SALYAN,213500,1462,166.66,1281,11
,,,,,
DANG,462380,2955,355.78,1300,12
,,,,,
,1286806,10482,900.63,1429,9
,,,,,
BANKE,385840,2337,226.41,1704,10
,,,,,
BARDIYA,382649,2025,189.32,2021,9
,,,,,
SURKHET,288527,2451,231.14,1248,9
,,,,,
DAILEKH,225201,1502,172,1309,11
,,,,,
JAJARKOT,134868,2230,34,3967,2
,,,,,
,1417085,10545,852.87,1662,8
,,,,,
DOLPA,29545,7889,0,0,0
,,,,,
JUMLA,89427,2531,36,2484,1
,,,,,
KALIKOT,105580,1741,64,1650,4
,,,,,
MUGU,43937,3535,0,0,0
,,,,,
HUMLA,40595,5655,30,0,1
,,,,,
,309084,21351,130,2378,1
,,,,,
,3012975,42378,1883.5,1600,4
,,,,,
BAJURA,108781,2188,16,6799,1
,,,,,
BAJHANG,167026,3422,76,2198,2
,,,,,
ACHHAM,231285,1680,139,1664,8
,,,,,
DOTI,207066,2025,141.76,1461,7
,,,,,
KAILALI,616697,3235,269.6,2287,8
,,,,,
,1330855,12550,642.36,2072,5
,,,,,
KANCHANPUR,377899,1610,155.42,2431,10
,,,,,
DADELDHURA,126162,1538,141.08,894,9
,,,,,
BAITADI,234418,1519,181.5,1292,12
,,,,,
DARCHULA,121996,2322,71.42,1708,3
,,,,,
,860475,6989,549.42,1566,8
,,,,,
,2191330,19539,1191.78,1839,6
,,,,,
,23151423,147181,9399.38,2463,6
